sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
中山,Taipei City,53,細懸浮微粒,普通,0.6,0.54,20.6,23.9,39,17,26,32.6,6.6,2.2,126,"2023/04/21 20:00:00",0.4,16,32,0,121.526528,25.062361,12
萬華,Taipei City,61,細懸浮微粒,普通,0.8,0.41,22.9,26.7,42,23,25.8,28.8,3,2.3,96,"2023/04/21 20:00:00",0.3,19,33,0,121.507972,25.046503,13
古亭,Taipei City,60,細懸浮微粒,普通,0.6,0.25,36.2,32,31,24,9,9.7,0.6,1.8,75,"2023/04/21 20:00:00",0.2,19,30,0,121.529556,25.020608,14
松山,Taipei City,54,細懸浮微粒,普通,1.3,0.35,25.1,25.5,37,19,20.6,23.9,3.3,0.7,56,"2023/04/21 20:00:00",0.2,16,33,0,121.578611,25.05,15
大同,Taipei City,65,細懸浮微粒,普通,1.3,0.95,10,11.1,45,22,37.3,75.5,38.2,-,-,"2023/04/21 20:00:00",1,21,40,1,121.51342074,25.06331455,16
桃園,Taoyuan City,53,細懸浮微粒,普通,1.8,0.47,26.3,27.5,39,18,19,20.9,1.8,2.2,56,"2023/04/21 20:00:00",0.4,16,29,1,121.30500531,24.9947107,17
大園,Taoyuan City,48,,良好,1.5,0.28,28.1,37.4,37,16,16.8,18.3,1.4,2.6,68,"2023/04/21 20:00:00",0.2,14,32,1,121.20251473,25.06100357,18
觀音,Taoyuan City,52,細懸浮微粒,普通,2.4,0.21,34.6,43.1,40,21,10.3,11.2,0.8,4,75,"2023/04/21 20:00:00",0.1,15,30,1,121.08283092,25.03556747,19
平鎮,Taoyuan City,45,,良好,1.1,0.42,30.2,31.5,32,20,17.2,19.9,2.6,2.8,82,"2023/04/21 20:00:00",0.3,13,28,0,121.203986,24.952786,20
龍潭,Taoyuan City,43,,良好,3.5,0.3,28.2,32.3,30,13,14.5,15.7,1.1,3.4,43,"2023/04/21 20:00:00",0.3,13,24,2,121.21645772,24.86400048,21
湖口,Hsinchu County,51,細懸浮微粒,普通,1.3,0.33,29.3,35.5,41,25,15.9,16.3,0.4,3.8,61,"2023/04/21 20:00:00",0.2,15,27,1,121.03886894,24.90009696,22
